Angle,DI,Distance
14.953231516789648,2.7769437057705524,298809.63411847973
15.054649117767546,2.5452876519405523,289735.11009447987
14.906245721514594,2.4828123818105525,274611.0599928236
30.539601262440932,1.3090314372105523,205762.96600573766
12.868353660331133,3.555188860980553,354542.69412303664
22.066121057560814,4.451089296027552,533063.8661811647
13.758806056579632,3.5943333054105526,300736.5813424427
16.527076250372343,4.027953521360552,410146.0784673632
14.862959438427227,3.1397629129805527,298383.3465321958
14.928590381474148,2.6978288836805526,293924.6641992041
15.290580641165251,2.260203781620552,289020.40165574895
14.9125343122287,2.9153161638905525,301885.97610546584
13.169049933366903,2.2706877716105525,291805.4469630511
15.52371279362591,3.0144451761905526,300403.85957293893
13.162093005452636,2.7240235213105524,303961.6800999744
14.355024488526949,3.1438414226705524,297327.57877874025
37.55222054893093,0.9315026467905527,189243.06381275813
15.514147519648638,2.9179357936405523,299674.4210196141
14.619679762517066,2.9786858637105524,298985.52527438535
29.52153440088958,3.426907695390552,348610.16931781394
29.109204129451,2.6715980838105526,252736.175643909
14.112632103194587,2.9514420567505524,295975.2543589099
16.9801974271874,2.0664532279405523,143832.6921337822
15.129628083330093,3.1107963768705527,297271.24661879585
14.96829157815347,3.2555337709405525,296845.45655083755
40.0249600267704,2.0314503422605528,240709.47846658193
14.16857854486133,2.929194950530553,300571.42411465035
15.408203825203499,2.7576899355305526,296604.54498632543
14.54275738723287,2.7934962481905523,292691.63618136797
13.109036595397399,2.4962239097305527,285369.7454377061
7.286540843958513,2.8690710965005524,314092.11225512024
15.847659263098619,2.8743157712405525,302235.9938981474
6.485137902107192,3.7202918453405527,357423.4501803228
15.159078389598008,3.587650629250552,298272.567770222
9.403136870713086,1.6690327572405526,265524.14334445586
22.892787663409432,3.259263921200552,336175.8246308827
11.979743596407058,3.1779068264605526,298270.241104926
14.861680323828022,3.228396042730553,303241.50577712525
14.12140964876744,2.7968942958905525,299831.31475449214
