Angle,DI,Distance
42.570811028361625,1.1443109422628464,127477.52084262737
40.938467525175504,1.3502410242928464,125702.04458486785
39.89892084404316,1.4830101315928466,128184.94257065792
41.16017948501262,1.2206170209028464,127800.8401051974
109.14962494594324,0.39633168590284606,131253.30163465935
40.852659555498576,0.5227463220828463,112171.2449861451
42.860816412275824,0.7288750979128462,124032.1967952958
39.52968961871325,0.8262257201028467,118040.70179812753
50.09224195751839,1.4281146570228467,181760.89097648172
34.768843905450986,3.1509659625038466,366335.8553152829
41.78934048230411,1.3440853975928464,127833.52820342302
78.10238063512479,1.4162472222028466,134488.92102509647
41.890557646196015,1.1952795479528464,128426.66534905822
93.06792869131696,1.4015137086228466,163689.73872421574
137.62615009369728,1.2556700090728468,75159.39002749816
22.25826035508397,1.2899674679428466,128006.48299994308
39.94343594816228,1.3144058583428464,127411.00319933795
35.56453152150561,1.215716314822847,121317.23572907665
16.830340073422366,1.5808062586228466,169300.7482655606
44.06044225847459,0.5615063453128473,120655.1437978098
42.86950527978966,1.1922706902228466,130532.89399544652
37.07135372852412,0.09414085888284607,86314.35110535177
42.425665639143844,1.8045882222628462,128437.20753795494
42.31579533510774,0.8719760075428464,122019.20774123546
97.9793206399808,1.0488140274028463,114311.60291356136
38.99682279324146,1.9054929705028467,127408.84092671332
40.70110694879603,0.9780825014128465,123931.04755000205
47.64709378181043,0.5739082610028463,107292.54121820325
42.32435326196377,1.153748763392846,126714.56518836058
