Angle,DI,Distance
14.953231516789623,2.7769437057705524,298809.6341184804
15.054649117767621,2.5452876519405523,289735.1100944809
14.90624572151467,2.4828123818105525,274611.0599928239
30.539601262440915,1.3090314372105523,205762.96600573836
12.86835366033119,3.555188860980553,354542.6941230375
22.066121057560814,4.451089296027552,533063.8661811647
13.758806056579658,3.5943333054105526,300736.5813424434
16.527076250372367,4.027953521360552,410146.07846736425
14.862959438427275,3.1397629129805527,298383.34653219656
14.9285903814742,2.6978288836805526,293924.6641992048
15.290580641165302,2.260203781620552,289020.40165574994
14.912534312228676,2.9153161638905525,301885.97610546666
13.169049933366903,2.2706877716105525,291805.4469630517
15.52371279362591,3.0144451761905526,300403.8595729397
13.162093005452665,2.7240235213105524,303961.680099975
14.355024488526924,3.1438414226705524,297327.57877874095
37.55222054893097,0.9315026467905527,189243.06381275863
15.514147519648757,2.9179357936405523,299674.4210196149
14.619679762517215,2.9786858637105524,298985.5252743863
29.521534400889514,3.426907695390552,348610.1693178144
29.10920412945108,2.6715980838105526,252736.17564390958
14.112632103194613,2.9514420567505524,295975.2543589106
16.98019742718744,2.0664532279405523,143832.6921337826
15.129628083330067,3.1107963768705527,297271.24661879643
14.968291578153545,3.2555337709405525,296845.4565508382
40.02496002677045,2.0314503422605528,240709.47846658254
14.16857854486133,2.929194950530553,300571.4241146511
15.408203825203524,2.7576899355305526,296604.5449863262
14.542757387232921,2.7934962481905523,292691.63618136867
13.109036595397455,2.4962239097305527,285369.7454377071
7.286540843958564,2.8690710965005524,314092.11225512094
15.847659263098619,2.8743157712405525,302235.9938981481
6.485137902107249,3.7202918453405527,357423.45018032356
15.159078389598054,3.587650629250552,298272.5677702228
9.403136870713125,1.6690327572405526,265524.1433444566
22.892787663409386,3.259263921200552,336175.8246308832
11.979743596407088,3.1779068264605526,298270.2411049267
14.861680323827997,3.228396042730553,303241.505777126
14.121409648767388,2.7968942958905525,299831.3147544927
