Nombre,PGA,Intensidad,lat,lon,distancia
LGUAT,4.42486382117,3.3337971509,14.616,-90.5133,133.628046537
ACRIS,8.67969747834,3.81571705737,14.5993,-90.5959,129.155649156
ANTG,13.3124908488,4.12165510374,14.5575,-90.7297,121.686927774
XELA,5.71892149086,3.5172963797,14.8618,-91.5491,160.533516081
JALAP,4.57010772598,3.35689884227,14.6322,-89.9847,164.535405733
IZABA,0.430191532511,1.66664107994,15.721,-88.5977,347.818419838
CCONS,3.44109551765,3.15393951085,14.5656,-90.4816,130.673472905
ZACAP,0.903448746264,2.19737309669,14.9716,-89.5417,220.949365756
SEUNI,4.58331151974,3.35896243308,14.6109,-90.516,133.08259234
KINAL,4.17919305389,3.29293923786,14.6255,-90.5357,133.585137035
CSTER,6.8485665928,3.64623267795,14.6035,-90.5568,130.891674828
CHULA,17.9731864971,4.33636750799,13.916,-90.8911,73.9414699065
LSECB,12.6698744038,4.08626599416,14.608,-90.6052,129.611621317
CAUST,6.53539748864,3.61275299535,14.6213,-90.4852,135.222630976
SMP,9.00273978649,3.84185512688,14.52,-90.5556,123.835111201
ITC,3.06087974579,3.07018880274,14.6458,-90.5063,136.482859693
SJPIN,16.7093183529,4.28421303401,14.5447,-90.4457,130.566467882
TADEO,3.10283885935,3.07992743835,14.5854,-90.5193,130.770947388
SMARC,17.8778545816,4.33256346447,14.958,-91.8023,181.219479634
IPRES,4.533598739,3.35116175084,14.6436,-90.5127,136.040949544
CASUN,4.43413108771,3.33529364588,14.6012,-90.5076,132.58726011
COBAN,1.10089547264,2.33875580318,15.4716,-90.3767,219.64858043
QUICH,3.31050441559,3.12626570043,15.0295,-91.1445,165.652584741
CHAMP,3.50088811471,3.16626154698,14.2946,-91.914,140.504780878
JUNKA,4.1094357918,3.28089928203,14.6204,-90.5293,133.385274943
CINGE,3.2797711366,3.11959430967,14.6121,-90.5311,132.598281949
HUEH,2.48332223949,2.92061947929,15.3162,-91.4851,201.796447235
RGIL,4.19767947175,3.2960962734,14.5841,-90.4879,131.952425567
AMGGT,6.80271429301,3.64142763515,14.6314,-90.5388,133.983096904
CMONM,5.14212830104,3.44125237031,14.5834,-90.5632,128.921103717
VILL,16.6010557387,4.27956351064,14.5041,-90.6131,120.402071768
STARS,14.4168998275,4.1786619878,14.2791,-90.3014,119.488164384
JUTI,3.58350644846,3.18294558944,14.2832,-89.8975,150.029470733
CDBOS,2.51059180724,2.92843124867,14.6241,-90.5207,134.037146119
ESCTL,32.3132258613,4.75594938083,14.3111,-90.7611,100.407790992
SALAM,2.47027166417,2.91685054845,15.101,-90.3179,185.545928126
BVH,19.1728329231,4.3825843159,14.4787,-90.4847,123.463793806
EXCEL,6.59773072665,3.61954288429,14.5803,-90.494,131.375402258
CSAGC,2.85784249641,3.02109506354,14.6221,-90.4724,135.82837151
SPAYM,0.000111221086051,4.24192979433,14.6875,-90.4594,142.014927966
CBIBL,6.53593435809,3.61281175197,14.5923,-90.5497,130.186390477
Epicentro,0,5.018441391682744,13.6853,-90.9683,0
