Nombre,PGA,Intensidad,lat,lon,distancia
IZABA,0.162937256872,0.972197599588,15.721,-88.5977,384.969234674
QUICH,1.84195973401,2.70691637759,15.0295,-91.1445,173.288266771
CHAMP,2.30556262553,2.86749359279,14.2946,-91.914,111.385765005
CDBOS,1.07026973777,2.3185753758,14.6241,-90.5207,154.635976628
JUAMA,3.39874212366,3.1450810987,14.5714,-90.5286,149.432727367
STARS,2.19762062522,2.83319613378,14.2791,-90.3014,143.070232648
CCONS,0.929453061945,2.2176706307,14.5656,-90.4816,151.918351867
BVH,2.43800947425,2.90744728565,14.4787,-90.4847,144.278017842
SMARC,7.66543280882,3.72683191393,14.958,-91.8023,171.952851766
HUEH,1.88029417859,2.72164989502,15.3162,-91.4851,204.436297901
SMP,4.20262141198,3.29693788284,14.52,-90.5556,143.185924698
CASUN,2.42136273544,2.90254658015,14.6012,-90.5076,153.393338901
ACRIS,6.08483051443,3.56165725642,14.5993,-90.5959,147.91189178
RGIL,1.67781495454,2.64015346845,14.5841,-90.4879,153.127658348
SEUNI,2.03748412743,2.77907820365,14.6109,-90.516,153.738267809
JUNKA,2.69395414949,2.97885265916,14.6204,-90.5293,153.779760308
TADEO,1.86665390023,2.716442082,14.5854,-90.5193,151.257804806
ESCTL,11.6954311446,4.0290227414,14.3111,-90.7611,111.986422601
JUTI,1.46340900678,2.54235734683,14.2832,-89.8975,179.257873695
LGUAT,2.50867192828,2.92788405412,14.616,-90.5133,154.361436578
ANTG,5.98023818944,3.54925533991,14.5575,-90.7297,136.680377114
CSTER,4.81535282615,3.39428850352,14.6035,-90.5568,150.59420656
EXCEL,2.12380479778,2.80875774218,14.5803,-90.494,152.404044103
IPRES,2.51924694655,2.93089291018,14.6436,-90.5127,156.881294077
XELA,3.07873663572,3.07434957281,14.8618,-91.5491,155.475446137
CMONM,3.94223323946,3.25118759351,14.5834,-90.5632,148.388078113
CINGE,2.65864217589,2.9694148388,14.6121,-90.5311,152.921708169
SALAM,1.81165145061,2.69504894209,15.101,-90.3179,210.479014368
CAUST,2.98380993587,3.05194809358,14.6213,-90.4852,156.58155952
VILL,6.42365483659,3.60041727825,14.5041,-90.6131,138.219570529
Epicentro,0,4.344375474470927,13.496,-91.3303,0
