Nombre,PGA,Intensidad,lat,lon,distancia
JALAP,0.287104760251,1.37739252767,14.6322,-89.9847,357.289922303
JACAL,0.870266071541,2.17060693016,15.6673,-91.7082,283.184251028
LGUAT,0.577242459226,1.8769570678,14.616,-90.5133,304.825246536
CDBOS,0.173400987776,1.01671793101,14.6241,-90.5207,304.455060289
SJPIN,0.615488496111,1.92284524133,14.5447,-90.4457,308.510331799
ACRIS,0.952033684858,2.23484036258,14.5993,-90.5959,296.170328251
RGIL,0.464057701527,1.72084405871,14.5841,-90.4879,305.961964059
KINAL,0.485183253515,1.75268685661,14.6255,-90.5357,303.072050033
BVH,0.477847433888,1.74178940813,14.4787,-90.4847,302.188553531
CSTER,1.12160573309,2.35208684321,14.6035,-90.5568,300.107243113
CCONS,0.217292947481,1.17811415421,14.5656,-90.4816,305.828817503
IPRES,0.482419753767,1.74860111115,14.6436,-90.5127,306.058372609
ESCTL,1.68683159737,2.64398713524,14.3111,-90.7611,269.014488376
ANTG,1.06518831595,2.31517127095,14.5575,-90.7297,281.567399154
CHULA,0.983927640928,2.25841032639,13.916,-90.8911,245.745929582
CHAMP,1.79184983879,2.68718775489,14.2946,-91.914,162.308666807
JUTI,0.327573745178,1.47171406475,14.2832,-89.8975,355.540964966
CBIBL,0.734499351798,2.04928786356,14.5923,-90.5497,300.320615437
JUNKA,0.438014092934,1.67953087433,14.6204,-90.5293,303.470179515
ALUX,2.71517609503,2.98446530826,14.618,-90.6332,293.409850195
COBAN,0.41957702873,1.64877087507,15.4716,-90.3767,363.518490469
HUEH,1.57794096851,2.59625546858,15.3162,-91.4851,266.385339255
COAT,1.25162858268,2.43054210289,14.6994,-91.8642,192.317890287
LSECB,1.44346627674,2.53254273945,14.608,-90.6052,295.651754892
SMP,1.71229757826,2.65470501231,14.52,-90.5556,296.817985987
SMARC,4.66816751711,3.372084174,14.958,-91.8023,216.304718867
IZABA,0.0934009825584,0.574168829815,15.721,-88.5977,539.323948011
CMONM,0.647353244417,1.95894976878,14.5834,-90.5632,298.646916558
XELA,3.27103392707,3.11768627511,14.8618,-91.5491,227.206257191
OCOS,1.26609138962,2.43875994602,14.5329,-92.2193,156.259573014
QUICH,0.913290990006,2.20512330822,15.0295,-91.1445,270.628065309
NRNJO,0.581190169458,1.88183217391,14.6577,-90.558,302.335557401
SALAM,0.431325806137,1.66852456409,15.101,-90.3179,346.671135277
TADEO,0.460678085938,1.71561577099,14.5854,-90.5193,302.972031021
ITC,0.524938113146,1.80901805038,14.6458,-90.5063,306.767795925
CASUN,0.623097501803,1.93163374852,14.6012,-90.5076,304.756628327
SEUNI,0.428701717617,1.66415965317,14.6109,-90.516,304.350434585
VILL,1.04862531242,2.3039616947,14.5041,-90.6131,290.597491113
STARS,0.540776307112,1.83028007897,14.2791,-90.3014,314.11503116
CAUST,0.819715850544,2.12780350939,14.6213,-90.4852,307.759194386
TUC,0.535975811751,1.82390212908,14.6014,-90.5176,303.798718114
GARIT,0.449379151566,1.69785347916,13.7517,-90.1268,323.274941424
epicentro,n/a,4.031680413959794,13.5644,-93.0402,n/a
