Lat,lon,amp
14.5041,-90.6131,2.20437640707
14.5041,-90.6124277108,2.20472902206
14.5041,-90.6117554217,2.20508700538
14.5041,-90.6110831325,2.20545039132
14.5041,-90.6104108434,2.20581921348
14.5041,-90.6097385542,2.20619350474
14.5041,-90.6090662651,2.20657329722
14.5041,-90.6083939759,2.20695862225
14.5041,-90.6077216867,2.20734951037
14.5041,-90.6070493976,2.2077459913
14.5041,-90.6063771084,2.2081480939
14.5041,-90.6057048193,2.20855584618
14.5041,-90.6050325301,2.20896927522
14.5041,-90.604360241,2.20938840722
14.5041,-90.6036879518,2.20981326741
14.5041,-90.6030156627,2.21024388009
14.5041,-90.6023433735,2.21068026855
14.5041,-90.6016710843,2.21112245509
14.5041,-90.6009987952,2.21157046097
14.5041,-90.600326506,2.2120243064
14.5041,-90.5996542169,2.21248401053
14.5041,-90.5989819277,2.21294959143
14.5041,-90.5983096386,2.21342106602
14.5041,-90.5976373494,2.21389845014
14.5041,-90.5969650602,2.21438175843
14.5041,-90.5962927711,2.2148710044
14.5041,-90.5956204819,2.21536620034
14.5041,-90.5949481928,2.21586735735
14.5041,-90.5942759036,2.2163744853
14.5041,-90.5936036145,2.21688759281
14.5041,-90.5929313253,2.21740668726
14.5041,-90.5922590361,2.21793177472
14.5041,-90.591586747,2.21846285998
14.5041,-90.5909144578,2.21899994654
14.5041,-90.5902421687,2.21954303654
14.5041,-90.5895698795,2.2200921308
14.5041,-90.5888975904,2.22064722876
14.5041,-90.5882253012,2.22120832852
14.5041,-90.587553012,2.22177542678
14.5041,-90.5868807229,2.22234851882
14.5041,-90.5862084337,2.22292759855
14.5041,-90.5855361446,2.22351265843
14.5041,-90.5848638554,2.22410368948
14.5041,-90.5841915663,2.22470068127
14.5041,-90.5835192771,2.22530362194
14.5041,-90.582846988,2.22591249811
14.5041,-90.5821746988,2.22652729495
14.5041,-90.5815024096,2.22714799614
14.5041,-90.5808301205,2.22777458383
14.5041,-90.5801578313,2.22840703868
14.5041,-90.5794855422,2.22904533983
14.5041,-90.578813253,2.22968946486
14.5041,-90.5781409639,2.23033938984
14.5041,-90.5774686747,2.23099508929
14.5041,-90.5767963855,2.23165653615
14.5041,-90.5761240964,2.23232370181
14.5041,-90.5754518072,2.23299655611
14.5041,-90.5747795181,2.23367506728
14.5041,-90.5741072289,2.23435920196
14.5041,-90.5734349398,2.23504892524
14.5041,-90.5727626506,2.23574420056
14.5041,-90.5720903614,2.23644498979
14.5041,-90.5714180723,2.23715125318
14.5041,-90.5707457831,2.23786294935
14.5041,-90.570073494,2.23858003531
14.5041,-90.5694012048,2.23930246644
14.5041,-90.5687289157,2.24003019648
14.5041,-90.5680566265,2.24076317755
14.5041,-90.5673843373,2.24150136009
14.5041,-90.5667120482,2.24224469293
14.5041,-90.566039759,2.24299312322
14.5041,-90.5653674699,2.24374659647
14.5041,-90.5646951807,2.24450505652
14.5041,-90.5640228916,2.24526844555
14.5041,-90.5633506024,2.24603670405
14.5041,-90.5626783133,2.24680977088
14.5041,-90.5620060241,2.24758758317
14.5041,-90.5613337349,2.24837007641
14.5041,-90.5606614458,2.24915718438
14.5041,-90.5599891566,2.2499488392
14.5041,-90.5593168675,2.25074497129
14.5041,-90.5586445783,2.25154550937
14.5041,-90.5579722892,2.25235038049
14.5041,-90.5573,2.25315950997
14.5041,-90.5566277108,2.25397282148
14.5041,-90.5559554217,2.25479023696
14.5041,-90.5552831325,2.25561167666
14.5041,-90.5546108434,2.25643705916
14.5041,-90.5539385542,2.25726630131
14.5041,-90.5532662651,2.25809931829
14.5041,-90.5525939759,2.25893602358
14.5041,-90.5519216867,2.25977632897
14.5041,-90.5512493976,2.26062014457
14.5041,-90.5505771084,2.26146737879
14.5041,-90.5499048193,2.2623179384
14.5041,-90.5492325301,2.26317172847
14.5041,-90.548560241,2.26402865241
14.5041,-90.5478879518,2.26488861197
14.5041,-90.5472156627,2.26575150728
14.5041,-90.5465433735,2.26661723681
14.5041,-90.5458710843,2.2674856974
14.5041,-90.5451987952,2.26835678428
14.5041,-90.544526506,2.26923039109
14.5041,-90.5438542169,2.27010640988
14.5041,-90.5431819277,2.27098473114
14.5041,-90.5425096386,2.27186524379
14.5041,-90.5418373494,2.27274783522
14.5041,-90.5411650602,2.27363239135
14.5041,-90.5404927711,2.27451879656
14.5041,-90.5398204819,2.2754069338
14.5041,-90.5391481928,2.27629668458
14.5041,-90.5384759036,2.27718792899
14.5041,-90.5378036145,2.27808054577
14.5041,-90.5371313253,2.27897441228
14.5041,-90.5364590361,2.27986940459
14.5041,-90.535786747,2.28076539749
14.5041,-90.5351144578,2.28166226454
14.5041,-90.5344421687,2.28255987808
14.5041,-90.5337698795,2.28345810931
14.5041,-90.5330975904,2.28435682832
14.5041,-90.5324253012,2.28525590412
14.5041,-90.531753012,2.28615520472
14.5041,-90.5310807229,2.28705459713
14.5041,-90.5304084337,2.28795394747
14.5041,-90.5297361446,2.28885312099
14.5041,-90.5290638554,2.28975198213
14.5041,-90.5283915663,2.29065039458
14.5041,-90.5277192771,2.29154822133
14.5041,-90.527046988,2.29244532476
14.5041,-90.5263746988,2.29334156666
14.5041,-90.5257024096,2.29423680832
14.5041,-90.5250301205,2.29513091062
14.5041,-90.5243578313,2.29602373404
14.5041,-90.5236855422,2.29691513876
14.5041,-90.523013253,2.29780498476
14.5041,-90.5223409639,2.29869313182
14.5041,-90.5216686747,2.29957943965
14.5041,-90.5209963855,2.30046376796
14.5041,-90.5203240964,2.30134597649
14.5041,-90.5196518072,2.30222592514
14.5041,-90.5189795181,2.30310347401
14.5041,-90.5183072289,2.30397848348
