,lon,lat,time,folder,Zona,prof,Zona2,ml
0,-90.484,13.4798,2019-02-05 06:59:41,2019-02-05-0659,G1,15.836,Intra 1,2.84
1,-92.2801,13.821,2019-02-09 04:28:34,2019-02-09-0427,G1,3.4461,Superficial,4.15
2,-92.2089,13.8593,2019-02-09 05:09:48,2019-02-09-0508,G1,5.1163,Superficial,4.09
3,-91.2033,13.8168,2019-02-10 12:03:36,2019-02-10-1202,G1,87.121,Intra 2,3.19
4,-91.3978,13.5857,2019-02-18 04:49:06,2019-02-18-0447,G1,39.9727,Intra 1,3.42
5,-91.2169,13.6563,2019-02-19 08:30:09,2019-02-19-0829,G1,55.5538,Intra 1,3.25
6,-91.423,13.5848,2019-02-24 03:11:01,2019-02-24-0310,G1,59.5969,Intra 1,3.67
7,-91.2702,13.6886,2019-02-24 10:55:09,2019-02-24-1054,G1,51.5185,Intra 1,3.06
8,-90.7826,13.5112,2019-02-25 00:50:35,2019-02-25-0050,G1,33.1218,Intra 1,3.64
9,-92.2078,14.2638,2019-02-25 00:58:05,2019-02-25-0057,G1,43.5578,Intra 1,3.61
10,-92.229,14.2158,2019-03-05 05:46:48,2019-03-05-0545,G1,20.037,Intra 1,4.12
11,-91.4192,13.5872,2019-03-08 02:07:53,2019-03-08-0207,G1,33.5384,Intra 1,4.75
12,-91.4485,13.6564,2019-03-08 02:10:00,2019-03-08-0209,G1,43.2786,Intra 1,4.53
13,-91.4342,13.5227,2019-03-08 11:07:16,2019-03-08-1107,G1,53.7631,Intra 1,4.7
14,-91.4654,13.6794,2019-03-09 09:48:59,2019-03-09-0948,G1,90.0733,Intra 2,3.57
15,-91.8415,14.1148,2019-03-10 10:35:52,2019-03-10-1035,G1,78.2534,Intra 2,3.15
16,-91.5617,13.7076,2019-03-11 11:21:04,2019-03-11-1120,G1,75.6321,Intra 2,4.11
17,-91.0503,13.7448,2019-03-13 15:14:14,2019-03-13-1513,G1,66.4111,Intra 2,3.6
18,-91.0473,13.6789,2019-03-18 02:55:06,2019-03-18-0254,G1,68.4226,Intra 2,3.58
