,lon,lat,folder,Zona,prof,Zona2,ml
241,-89.9412,13.2543,2019-05-09-1708,1,21.0104,Intra 1,4.46
242,-89.932,13.1088,2019-05-11-0201,1,98.4279,Intra 2,4.32
243,-90.0825,13.1803,2019-05-11-0534,1,18.7093,Intra 1,4.11
244,-90.3274,13.3683,2019-05-14-1149,1,6.4464,Superficial,4.16
245,-89.6415,13.1339,2019-05-16-0113,1,27.0786,Intra 1,4.58
246,-89.191,12.143,2019-05-16-2231,1,40.7579,Intra 1,4.92
247,-90.3861,13.2455,2019-05-18-0203,1,6.7311,Superficial,4.09
248,-89.3501,12.9388,2019-05-30-0903,1,50.5898,Intra 1,6.88
249,-89.8295,13.113,2019-05-30-0913,1,6.662,Superficial,4.32
250,-89.4124,12.9249,2019-05-30-0917,1,40.4957,Intra 1,4.45
251,-89.4496,13.0748,2019-05-30-0937,1,42.8457,Intra 1,4.34
252,-89.5118,13.0826,2019-05-30-0940,1,35.4432,Intra 1,4.37
253,-89.3544,13.0945,2019-05-30-1021,1,42.0782,Intra 1,4.56
254,-89.4699,13.1297,2019-05-30-1107,1,35.0846,Intra 1,4.19
255,-89.6756,13.207,2019-05-30-1746,1,11.3533,Superficial,4.39
256,-89.5571,13.0268,2019-05-30-2235,1,40.0629,Intra 1,4.39
257,-89.5097,12.9959,2019-05-31-0059,1,35.032,Intra 1,3.31
258,-89.6613,13.1029,2019-05-31-0546,1,1.6027,Superficial,4.02
259,-89.5263,13.1087,2019-05-31-0619,1,70.817,Intra 2,3.84
260,-89.4662,12.9478,2019-05-31-0732,1,40.1112,Intra 1,3.6
261,-89.6709,13.149,2019-05-31-0911,1,69.179,Intra 2,3.59
262,-89.5133,13.0649,2019-05-31-0931,1,38.3617,Intra 1,3.86
263,-89.7108,13.034,2019-05-31-1057,1,61.5765,Intra 1,3.74
264,-89.4276,13.0184,2019-06-01-0144,1,39.2245,Intra 1,4.88
265,-89.5177,13.0481,2019-06-01-0652,1,52.5836,Intra 1,2.88
266,-89.5302,12.9715,2019-06-02-0345,1,47.9906,Intra 1,4.07
267,-89.5583,13.0504,2019-06-02-0936,1,58.4956,Intra 1,3.23
268,-89.4824,13.1156,2019-06-03-0347,1,60.9079,Intra 1,3.06
269,-89.3762,13.0368,2019-06-03-0616,1,50.1385,Intra 1,3.64
270,-89.5397,13.0606,2019-06-05-0925,1,21.914,Intra 1,3.68
271,-90.0386,13.132,2019-06-06-0921,1,44.0754,Intra 1,3.4
272,-88.9508,12.9428,2019-06-09-0551,1,51.7004,Intra 1,4.26
273,-89.5268,12.9144,2019-06-09-0641,1,67.7785,Intra 2,3.54
274,-89.5626,13.1028,2019-06-09-0851,1,65.8839,Intra 2,4.06
275,-88.6787,12.846,2019-06-10-0911,1,40.9948,Intra 1,5.76
276,-89.4661,13.1297,2019-06-14-0740,1,57.687,Intra 1,3.77
277,-89.897,13.1755,2019-06-17-1408,1,56.5635,Intra 1,3.7
278,-89.4363,12.9605,2019-06-20-2252,1,39.4646,Intra 1,3.91
279,-89.5006,13.0507,2019-06-23-0625,1,38.1295,Intra 1,3.93
280,-89.3176,13.0389,2019-07-01-0004,1,35.0027,Intra 1,3.8
281,-90.189,12.7958,2019-07-03-0807,1,24.2456,Intra 1,3.68
282,-89.4888,13.1462,2019-07-05-1501,1,41.725,Intra 1,3.32
283,-89.6726,12.8867,2019-07-08-1227,1,4.0882,Superficial,4.05
284,-89.4718,12.963,2019-07-09-0018,1,49.6543,Intra 1,4.06
285,-89.6348,13.2013,2019-07-10-0417,1,13.3204,Superficial,3.84
286,-89.5678,12.9689,2019-07-12-1035,1,35.9557,Intra 1,3.75
287,-89.5228,13.1096,2019-07-29-1744,1,40.0517,Intra 1,4.82
288,-89.5136,13.0979,2019-07-31-0553,1,40.0366,Intra 1,6.15
289,-90.2578,13.2425,2019-07-31-1253,1,26.1821,Intra 1,4.06
290,-90.2146,13.3249,2019-08-01-1752,1,54.313,Intra 1,3.63
291,-89.3642,13.1123,2019-08-02-0701,1,47.5217,Intra 1,3.49
292,-89.5423,13.1249,2019-08-09-1704,1,38.7778,Intra 1,4.88
293,-89.5595,13.1465,2019-08-11-2112,1,21.0443,Intra 1,2.96
294,-89.8037,13.199,2019-08-12-0322,1,18.9984,Intra 1,4.25
295,-89.5452,13.041,2019-08-15-0806,1,38.9685,Intra 1,3.24
296,-89.6727,13.11,2019-08-15-0927,1,39.6148,Intra 1,2.66
297,-90.3855,13.431,2019-08-17-0824,1,17.7675,Intra 1,2.71
298,-90.1021,13.1865,2019-08-17-1544,1,22.8442,Intra 1,3.52
299,-89.8431,12.8071,2019-08-26-0900,1,48.7825,Intra 1,3.54
300,-90.2125,12.982,2019-08-26-0930,1,56.9822,Intra 1,3.72
301,-89.2128,12.8925,2019-08-27-0520,1,35.3437,Intra 1,3.48
302,-88.8815,12.5136,2019-08-27-1559,1,19.0,Intra 1,4.98
303,-90.1602,13.1955,2019-08-28-1636,1,19.2653,Intra 1,3.75
304,-90.1122,13.243,2019-08-29-0720,1,15.3594,Intra 1,2.9
305,-90.1012,13.2544,2019-09-01-0728,1,14.6694,Superficial,3.38
306,-89.6121,13.1147,2019-09-01-2255,1,5.5711,Superficial,4.26
307,-89.2751,13.0531,2019-09-04-0029,1,18.2947,Intra 1,3.35
308,-89.5319,13.139,2019-09-05-1132,1,36.4111,Intra 1,2.99
309,-89.5806,13.134,2019-09-05-1845,1,37.8835,Intra 1,3.54
310,-88.9475,12.8606,2019-09-06-1328,1,34.7812,Intra 1,5.02
311,-90.3883,13.3402,2019-09-06-1837,1,26.5023,Intra 1,3.63
312,-88.866,12.9187,2019-09-10-1416,1,17.2211,Intra 1,5.13
313,-90.062,13.188,2019-09-10-1528,1,12.7533,Superficial,4.46
314,-90.0931,13.3096,2019-09-13-0827,1,22.1972,Intra 1,4.29
315,-89.5673,13.0843,2019-09-15-0131,1,49.9575,Intra 1,3.63
316,-90.2482,13.0564,2019-09-15-1853,1,1.047,Superficial,3.28
317,-89.6019,13.0922,2019-09-15-1859,1,19.8334,Intra 1,3.79
318,-89.4407,13.0634,2019-09-21-0554,1,40.5507,Intra 1,3.91
319,-88.4145,12.6381,2019-09-25-0823,1,41.8482,Intra 1,3.6
320,-89.9834,13.2473,2019-09-25-1957,1,24.5546,Intra 1,3.99
321,-88.6459,12.6265,2019-09-26-0421,1,22.8791,Intra 1,4.38
322,-90.0499,13.2283,2019-09-29-1629,1,10.7106,Superficial,3.67
323,-90.3452,12.7567,2019-09-29-2058,1,12.0811,Superficial,5.09
324,-90.44,13.0005,2019-09-29-2307,1,48.1507,Intra 1,3.86
325,-90.1763,12.8012,2019-09-30-0003,1,40.5734,Intra 1,3.33
326,-90.6066,12.6873,2019-09-30-0101,1,16.0,Intra 1,4.31
327,-90.2428,12.719,2019-09-30-0754,1,35.7969,Intra 1,3.48
328,-90.3863,12.8926,2019-09-30-1130,1,7.962,Superficial,3.46
329,-89.417,13.0517,2019-10-01-0304,1,35.3423,Intra 1,4.11
330,-89.6912,13.1184,2019-10-01-0314,1,2.7952,Superficial,4.01
331,-90.1189,13.2536,2019-10-02-0204,1,7.4957,Superficial,3.4
332,-89.5271,13.0945,2019-10-04-1754,1,42.4961,Intra 1,4.36
333,-90.358,13.017,2019-10-05-0347,1,40.1599,Intra 1,4.07
334,-90.4697,13.1872,2019-10-05-0407,1,6.7298,Superficial,3.44
335,-90.1198,13.2868,2019-10-06-0541,1,10.2058,Superficial,3.38
336,-89.715,13.0695,2019-10-06-1519,1,23.0,Intra 1,2.8
337,-89.7213,13.1861,2019-10-06-1853,1,8.7295,Superficial,4.03
338,-90.1635,13.1131,2019-10-07-2048,1,1.5119,Superficial,3.23
339,-89.5258,12.986,2019-10-09-0056,1,37.0971,Intra 1,4.28
340,-90.1615,13.2298,2019-10-10-0927,1,8.7975,Superficial,3.37
341,-89.944,12.9125,2019-10-10-2203,1,15.0,Intra 1,4.5
342,-89.8962,12.6918,2019-10-13-0253,1,21.2731,Intra 1,4.7
343,-89.7754,13.1303,2019-10-13-1605,1,3.8959,Superficial,3.89
344,-89.6583,13.1319,2019-10-14-1013,1,9.1692,Superficial,3.55
345,-89.5304,13.0871,2019-10-15-1326,1,56.4003,Intra 1,3.58
346,-90.3792,13.0211,2019-10-20-0746,1,60.9953,Intra 1,3.41
347,-90.4163,13.2064,2019-10-21-0854,1,32.4435,Intra 1,4.68
348,-90.2021,12.6401,2019-10-22-0319,1,29.2597,Intra 1,3.82
349,-89.6337,13.0542,2019-10-24-2121,1,16.2491,Intra 1,4.17
350,-88.3712,12.5885,2019-10-25-1502,1,31.8261,Intra 1,4.53
351,-90.1561,12.9851,2019-10-25-1509,1,12.4572,Superficial,4.27
